Lokalizacja;Numer stacji;Szer. geograficzna;D³. geograficzna;Dzielnica
Citi;6081;52.18091213826019;20.991702675819397;Mokotów
Nestle House;6082;52.1839973961197;21.009796857833862;Mokotów
New City;6083;52.177803639639116;20.997496247291565;Mokotów
Starcom MediaVest Group;6084;52.18342838278314;21.00187361240387;Mokotów
The Park Warsaw;6085;52.18933853050738;20.945236086845398;W³ochy
Warsaw Spire;6086;52.232543907723425;20.983328819274902;Wola
Trinity Park;6087;52.1835270561379;20.990527868270874;Mokotów
Trinity Park 1;60871;52.18345798481257;20.990538597106934;Mokotów
Galeria Bemowo;6213;52.2645854944588;20.9312510490417;Bemowo
ul. S³omiñskiego – Metro Dw. Gdañski;6300;52.25764445766444;20.994502902030945;Œródmieœcie
ul. S³omiñskiego – Metro Dw. Gdañski 1;63001;52.25751639616425;20.99452972412109;Œródmieœcie
ul. Andersa – ul. Muranowska;6301;52.2541078541912;20.998107790947;Œródmieœcie
Metro Ratusz Arsena³ Po³udniowy;6302;52.244573710696;20.9999907016754;Œródmieœcie
pl. Bankowy, rejon Ratusza;6303;52.24308248127586;21.001771688461304;Œródmieœcie
pl. Bankowy;6304;52.24423868113828;21.00161612033844;Œródmieœcie
ul. Andersa, rejon Pl. Bankowego i ul. D³ugiej;6305;52.24491859142194;21.001262068748474;Œródmieœcie
ul. Senatorska – Bielañska;6306;52.243516059754675;21.006712317466736;Œródmieœcie
ul. Marsza³kowska – ul. Królewska;6307;52.23848037586037;21.006744503974915;Œródmieœcie
ul. Królewska – Plac Ma³achowskiego;6308;52.23965640536594;21.01184606552124;Œródmieœcie
ul. Bracka – ul. Krucza;6309;52.23196894473187;21.016164422035217;Œródmieœcie
al. Jerozolimskie, rejon rotundy;6310;52.230217725853215;21.01259171962738;Œródmieœcie
ul. Nowy Œwiat – Rondo de Gaulle´a;6311;52.2314251871654;21.0213263332844;Œródmieœcie
al. 3-go Maja, rejon Dw. Powiœle;6312;52.23388436394939;21.030020713806152;Œródmieœcie
ul. Topiel – ul. Tamka;6313;52.2375474140858;21.0257023572922;Œródmieœcie
ul. OboŸna – ul. Kopernika;6314;52.23831283839485;21.018412113189697;Œródmieœcie
ul. Bonifraterska – Plac Krasiñskich;6315;52.24884675795982;21.005457043647766;Œródmieœcie
ul. Miodowa;6316;52.24627509626952;21.01130962371826;Œródmieœcie
ul. Anielewicza – ul. Andersa;6317;52.24920802671565;20.997206568717957;Œródmieœcie
al. Jana Paw³a II – al. Solidarnoœci;6318;52.24219560301015;20.992990136146545;Wola
al. Jana Paw³a II – pl. Mirowski;6319;52.238608492319024;20.995774269104004;Wola
ul. Grzybowska – Al. Jana Paw³a II;6320;52.235707713687624;20.996793508529663;Wola
al. Jana Paw³a II – ul. Stawki;6321;52.25138542973338;20.985780358314514;Œródmieœcie
ul. Krucza – ul. Wspólna;6322;52.22820028864685;21.017950773239136;Œródmieœcie
ul. Traugutta – ul. Krakowskie Przedmieœcie;6323;52.23935090349061;21.01681351661682;Œródmieœcie
ul. Traugutta – ul. Krakowskie Przedmieœcie 1;63231;52.23927206395559;21.01672768592834;Œródmieœcie
ul. Traugutta – ul. Krakowskie Przedmieœcie 2;63232;52.23927863392218;21.016899347305298;Œródmieœcie
Sadyba Best Mall;6324;52.18735212442676;21.061735153198242;Mokotów
ul. Œwiêtokrzyska – Sezam;6325;52.235162359274504;21.008772253990173;Œródmieœcie
al. Jana Paw³a II – ul. Anielewicza;6326;52.24710277377028;20.989433526992794;Œródmieœcie
ul. Ga³czyñskiego – ul. Foksal;6327;52.23365110119173;21.02034866809845;Œródmieœcie
ul. Koœcielna – Nowe Miasto;6328;52.254117705846;21.0093784332275;Œródmieœcie
Wybrze¿e Koœciuszkowskie – Centrum Nauki Kopernik;6329;52.24129885251972;21.028132438659668;Œródmieœcie
ul. Solec przy al.3-go Maja;6330;52.23462028348882;21.034199595451355;Œródmieœcie
Metro Stare Bielany ul. Kasprowicza;6331;52.2816642231669;20.94968855381012;Bielany
Metro Stare Bielany ul. Kasprowicza 1;63311;52.28153623103404;20.94995141029358;Bielany
Metro S³odowiec;6332;52.2760716067128;20.9617102146149;Bielany
Metro S³odowiec 1;63321;52.276245566098574;20.961399078369137;Bielany
